symbol,date,price
rojo,Jan 2008,42
rojo,Feb 2008,45
rojo,Mar 2008,113
rojo,Apr 2008,50
rojo,May 2008,135
rojo,Jun 2008,141
rojo,Jul 2008,143
rojo,Aug 2008,221
rojo,Sep 2008,223
rojo,Oct 2008,222
rojo,Nov 2008,223
rojo,Dec 2008,222
rojo,Jan 2009,136
rojo,Feb 2009,241
rojo,Mar 2009,76
rojo,Apr 2009,90
rojo,May 2009,127
rojo,Jun 2009,250
rojo,Jul 2009,260
rojo,Aug 2009,316
rojo,Sep 2009,310
rojo,Oct 2009,306
rojo,Nov 2009,258
rojo,Dec 2009,297
rojo,Jan 2010,227
rojo,Feb 2010,164
rojo,Mar 2010,241
rojo,Apr 2010,206
rojo,May 2010,262
rojo,Jun 2010,314
rojo,Jul 2010,288
rojo,Aug 2010,338
rojo,Sep 2010,300
rojo,Oct 2010,361
rojo,Nov 2010,201
rojo,Dec 2010,215
rojo,Jan 2011,219
rojo,Feb 2011,234
rojo,Mar 2011,178
rojo,Apr 2011,171
rojo,May 2011,150
rojo,Jun 2011,151
rojo,Jul 2011,219
rojo,Aug 2011,124
rojo,Sep 2011,145
rojo,Oct 2011,144
rojo,Nov 2011,100
rojo,Dec 2011,123
rojo,Jan 2012,118
rojo,Feb 2012,82
rojo,Mar 2012,105
rojo,Apr 2012,108
rojo,May 2012,74
rojo,Jun 2012,49
rojo,Jul 2012,45
rojo,Aug 2012,41
rojo,Sep 2012,51
rojo,Oct 2012,29
rojo,Nov 2012,27
rojo,Dec 2012,31
rojo,Jan 2013,26
rojo,Feb 2013,25
rojo,Mar 2013,42
rojo,Apr 2013,46
rojo,May 2013,38
rojo,Jun 2013,53
rojo,Jul 2013,33
rojo,Aug 2013,49
rojo,Sep 2013,39
rojo,Oct 2013,36
rojo,Nov 2013,44
rojo,Dec 2013,53